samples,activation,learning_rate,batch_norm,val_accuracy
50,relu,0.1,False,1.0
50,relu,0.01,False,1.0
50,relu,0.001,False,1.0
50,tanh,0.1,False,1.0
50,tanh,0.01,False,1.0
50,tanh,0.001,False,1.0
50,sigmoid,0.1,False,1.0
50,sigmoid,0.01,False,1.0
110,relu,0.1,False,1.0
110,relu,0.01,False,1.0
110,relu,0.001,False,1.0
170,tanh,0.001,False,1.0
110,tanh,0.1,False,1.0
110,tanh,0.01,False,1.0
110,tanh,0.001,False,1.0
110,sigmoid,0.1,False,1.0
110,sigmoid,0.01,False,1.0
170,relu,0.1,False,1.0
170,relu,0.01,False,1.0
170,sigmoid,0.01,False,1.0
170,relu,0.001,False,1.0
170,tanh,0.1,False,1.0
170,tanh,0.01,False,1.0
170,sigmoid,0.001,False,1.0
170,sigmoid,0.1,False,1.0
110,sigmoid,0.001,False,0.9852941036224365
50,sigmoid,0.001,False,0.8970588445663452
