n_estimators,max_features,sample_size,accuracy
200,sqrt,110,1.0
200,sqrt,170,1.0
30,sqrt,170,1.0
100,sqrt,170,1.0
300,sqrt,110,1.0
300,sqrt,170,1.0
200,none,110,1.0
30,none,50,0.9852941176470589
300,none,110,0.9852941176470589
300,none,50,0.9852941176470589
100,none,110,0.9852941176470589
20,sqrt,170,0.9852941176470589
10,none,50,0.9852941176470589
200,sqrt,50,0.9852941176470589
100,sqrt,110,0.9852941176470589
100,none,50,0.9852941176470589
20,none,110,0.9852941176470589
30,none,110,0.9852941176470589
20,none,50,0.9852941176470589
100,sqrt,50,0.9852941176470589
200,none,50,0.9852941176470589
10,none,110,0.9705882352941176
10,sqrt,170,0.9705882352941176
10,sqrt,110,0.9705882352941176
300,none,170,0.9705882352941176
30,sqrt,50,0.9705882352941176
30,sqrt,110,0.9705882352941176
300,sqrt,50,0.9705882352941176
200,none,170,0.9705882352941176
10,sqrt,50,0.9558823529411765
20,sqrt,50,0.9558823529411765
20,sqrt,110,0.9558823529411765
30,none,170,0.9558823529411765
20,none,170,0.9558823529411765
10,none,170,0.9558823529411765
100,none,170,0.9411764705882353
